GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.erp.inventory.service.impl,EstoqueProdutoMovimentacaoServiceImpl,0,91,1,7,0,20,1,7,0,4
backend,com.erp.inventory.service.impl,EstoqueMovimentacaoServiceImpl,1,82,2,6,0,21,2,5,0,3
backend,com.erp.inventory.service.impl,MaterialServiceImpl,6,159,1,3,0,47,2,6,1,5
backend,com.erp.inventory.domain,Material,11,135,0,0,5,46,3,37,3,37
backend,com.erp.inventory.domain,EstoqueMovimentacao,33,26,2,0,13,11,10,7,9,7
backend,com.erp.inventory.domain,EstoqueProdutoMovimentacao,27,32,2,0,11,13,8,9,7,9
backend,com.erp.inventory.domain,TipoMovimentacao,0,15,0,0,0,3,0,1,0,1
backend,com.erp.catalog.dto,ProdutoSkuResponse,0,21,0,0,0,1,0,1,0,1
backend,com.erp.catalog.dto,ProdutoSkuRequest,0,15,0,0,0,1,0,1,0,1
backend,com.erp.catalog.dto,ProdutoBaseResponse,0,57,0,0,0,1,0,1,0,1
backend,com.erp.catalog.dto,ProdutoBaseRequest,0,51,0,0,0,1,0,1,0,1
backend,com.erp.core.security,UsuarioEmpresa,10,14,0,0,4,6,3,4,3,4
backend,com.erp.core.security,UserDetailsServiceImpl,0,26,0,0,0,6,0,3,0,3
backend,com.erp.core.security,UserDetailsImpl,11,37,0,0,4,11,4,8,4,8
backend,com.erp.core.security,Usuario,0,124,0,0,0,36,0,33,0,33
backend,com.erp.core.security,SecurityConfig,114,0,0,0,28,0,9,0,9,0
backend,com.erp.core.security,UsuarioEmpresa.UsuarioEmpresaId,73,0,10,0,16,0,13,0,8,0
backend,com.erp.core.security,JwtAuthenticationFilter,6,139,8,16,2,37,8,7,0,3
backend,com.erp.core.security,JwtService,18,144,2,4,2,32,4,14,2,13
backend,com.erp.core.security,AuthService,75,269,21,17,19,67,18,7,0,6
backend,com.erp.production.dto,FichaTecnicaOperacaoRequest,0,24,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,FichaTecnicaResponse,0,30,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,FichaTecnicaOperacaoResponse,0,30,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,OrdemProducaoItemRequest,0,9,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,CupomResponse,0,27,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,TabelaTempoPadraoResponse,0,18,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,TabelaTempoPadraoRequest,0,15,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,FichaTecnicaMaterialRequest,0,9,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,FichaTecnicaRequest,0,15,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,ProdutividadeResponse,0,27,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,OrdemProducaoResponse,0,36,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,FichaTecnicaMaterialResponse,0,18,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,OrdemProducaoRequest,0,15,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,OcorrenciaRequest,0,12,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,ApontamentoRequest,0,9,0,0,0,1,0,1,0,1
backend,com.erp.production.dto,OrdemProducaoItemResponse,0,21,0,0,0,1,0,1,0,1
backend,com.erp.core.security.dto,UsuarioDTO,45,70,0,0,15,18,15,18,15,18
backend,com.erp.core.security.dto,AuthRequest,0,24,0,0,0,7,0,7,0,7
backend,com.erp.core.security.dto,EmpresaSimpleDTO,26,0,0,0,9,0,6,0,6,0
backend,com.erp.core.security.dto,UsuarioCreateDTO,36,58,0,0,9,18,9,18,9,18
backend,com.erp.core.security.dto,AuthResponse,21,42,0,0,7,15,7,4,7,4
backend,com.erp.core.dto,UnidadeMedidaResponse,0,24,0,0,0,1,0,1,0,1
backend,com.erp.core.dto,ClienteRequest,0,36,0,0,0,1,0,1,0,1
backend,com.erp.core.dto,FornecedorRequest,0,39,0,0,0,1,0,1,0,1
backend,com.erp.core.dto,FornecedorResponse,0,42,0,0,0,1,0,1,0,1
